iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
ARG,Argentina,1994,467.9800521901,486.3247008184,358592053441.545,MERCOSUR,0.03772098887313172,18.34464862829998,MERCOSUR
ARG,Argentina,1995,473.70236613599997,461.0772421176,348389357874.283,MERCOSUR,-0.027381798243644086,-12.625124018399958,MERCOSUR
ARG,Argentina,1996,472.6096462531,463.07621088279996,367643757074.802,MERCOSUR,-0.020587184455287955,-9.533435370300026,MERCOSUR
ARG,Argentina,1997,514.5110954217,518.8620911374,397463514160.866,MERCOSUR,0.008385649655310308,4.3509957156999235,MERCOSUR
ARG,Argentina,1998,565.4984168361,571.6827451423001,412766570325.764,MERCOSUR,0.010817762751717683,6.1843283062000864,MERCOSUR
ARG,Argentina,1999,550.0409396553,542.4550271158,398792535409.293,MERCOSUR,-0.01398440821874915,-7.5859125394999865,MERCOSUR
ARG,Argentina,2000,536.3073800001,529.6869605407,395646066535.875,MERCOSUR,-0.012498739732316395,-6.620419459399955,MERCOSUR
ARG,Argentina,2001,524.3390691785,501.6830818328,378202665751.853,MERCOSUR,-0.045159958878682696,-22.655987345700055,MERCOSUR
ARG,Argentina,2002,523.2519733993,422.82934383459997,336999433710.193,MERCOSUR,-0.2375015618688537,-100.42262956470006,MERCOSUR
ARG,Argentina,2003,562.2954623207,443.4310820118,366780211148.674,MERCOSUR,-0.2680560410191024,-118.86438030890002,MERCOSUR
ARG,Argentina,2004,587.7531220975,468.52406857489996,399898899166.738,MERCOSUR,-0.2544779692647521,-119.2290535226,MERCOSUR
ARG,Argentina,2005,640.1015234122,509.10849540609996,435296589745.339,MERCOSUR,-0.2572988453111767,-130.99302800610002,MERCOSUR
ARG,Argentina,2006,641.8998017046999,522.0590177373,470325565798.353,MERCOSUR,-0.22955409234536736,-119.84078396739994,MERCOSUR
ARG,Argentina,2007,689.1296233698,574.2372300923,512690850741.56,MERCOSUR,-0.2000782729796756,-114.89239327749999,MERCOSUR
ARG,Argentina,2008,696.2621533535,569.3525144486999,533491913656.279,MERCOSUR,-0.22290169215760083,-126.90963890480009,MERCOSUR
ARG,Argentina,2009,603.8287524425,475.15884156019996,501917060966.235,MERCOSUR,-0.2707934686847204,-128.66991088230003,MERCOSUR
ARG,Argentina,2010,667.7537645771,556.4976839264999,552738161802.463,MERCOSUR,-0.19992191138264356,-111.2560806506001,MERCOSUR
ARG,Argentina,2011,728.9419475384001,625.5106557096,585924294024.785,MERCOSUR,-0.16535496379588327,-103.43129182880011,MERCOSUR
ARG,Argentina,2012,697.9888491468,613.6829185854,579910247223.428,MERCOSUR,-0.1373770199694226,-84.30593056140003,MERCOSUR
ARG,Argentina,2013,761.6863893354,676.4437870749,593858966307.156,MERCOSUR,-0.12601579597487148,-85.242602260500007,MERCOSUR
ARG,Argentina,2014,756.0932113894,663.9202591458,578937574935.696,MERCOSUR,-0.13883135960060905,-92.1729522436001,MERCOSUR
ARG,Argentina,2015,766.5911175571999,701.8969174496,594749285413.212,MERCOSUR,-0.09217051464290744,-64.69420010759995,MERCOSUR
ARG,Argentina,2016,748.9774058954,690.1869699752001,582376550428.09,MERCOSUR,-0.08518044888954131,-58.79043592019991,MERCOSUR
ARG,Argentina,2017,839.423293986,785.0265707007001,598790850843.677,MERCOSUR,-0.06929284347247815,-54.39672328529991,MERCOSUR
ARG,Argentina,2018,788.2230021898,701.8486142017,583118120294.002,MERCOSUR,-0.12306697803534795,-86.37438798810001,MERCOSUR
ARG,Argentina,2019,840.1114680553,700.5992194234001,571450737224.442,MERCOSUR,-0.1991327491725152,-139.51224863189987,MERCOSUR
ARG,Argentina,2020,812.9563175219,691.6068828817,514874343768.066,MERCOSUR,-0.17546013153393808,-121.3494346402,MERCOSUR
ARG,Argentina,2021,856.3663646732,705.7275585269,568636554720.066,MERCOSUR,-0.21345178366101478,-150.6388061463,MERCOSUR
ARG,Argentina,2022,877.6391606131999,736.2864459048001,602872713790.916,MERCOSUR,-0.19198060142842338,-141.35271470839984,MERCOSUR
ARG,Argentina,2023,894.8842822874,747.4613395427001,591684674129.454,MERCOSUR,-0.19723152883718886,-147.42294274469987,MERCOSUR
ARG,Argentina,2024,912.3304993142001,760.5593607329,583738758865.705,MERCOSUR,-0.19955199609278151,-151.77113858130008,MERCOSUR
AUT,Austria,1994,161.949763368,212.0056330447,260148661734.735,EU,0.2361063192417442,50.05586967670001,EU15
AUT,Austria,1995,156.770567243,215.75031869679998,267089386116.812,EU,0.273370402463627,58.97975145379999,EU15
AUT,Austria,1996,163.6604656518,211.8221824096,273007464944.44,EU,0.22736861744097142,48.16171675780001,EU15
AUT,Austria,1997,161.3861872938,212.3730790296,278865754830.707,EU,0.24008170889067157,50.986891735800015,EU15
AUT,Austria,1998,161.1523860273,220.07691971740002,288606201090.647,EU,0.2677451763945297,58.92453369010002,EU15
AUT,Austria,1999,157.938856943,219.7574061123,299463348050.583,EU,0.28130359864963833,61.81854916930001,EU15
AUT,Austria,2000,150.90795085640002,212.298085761,309014800203.266,EU,0.2891695169296604,61.39013490459999,EU15
AUT,Austria,2001,142.7411303692,209.6095608825,313084486481.847,EU,0.3190142197320101,66.86843051330001,EU15
AUT,Austria,2002,145.6166928711,209.7540270386,317731814841.85,EU,0.30577403005329234,64.13733416749997,EU15
AUT,Austria,2003,153.1616729809,224.15250681650002,321358930178.288,EU,0.3167077399393793,70.99083383560003,EU15
