iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio,regime_viterbi,p_regime1,p_regime2,p_regime3
ARG,Argentina,1995,473.702366136,461.0772421176,348389357874.283,MERCOSUR,-0.02738179824364408,-12.625124018399958,-0.05191481875856379,-0.02845209610570785,1.824639512171092,RND,2,0,1,0
ARG,Argentina,1996,472.6096462531,463.0762108828,367643757074.802,MERCOSUR,-0.02058718445528795,-9.533435370300026,0.00433543142580469,0.05526689827152231,0.07844535447791974,WD,2,0,1,0
ARG,Argentina,1997,514.5110954217,518.8620911374,397463514160.866,MERCOSUR,0.0083856496553103,4.3509957156999235,0.12046803300098433,0.08111046770745736,1.4852341061017995,END,1,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
ARG,Argentina,1998,565.4984168361,571.6827451423001,412766570325.764,MERCOSUR,0.01081776275171768,6.1843283062000864,0.10180095040112053,0.03850178851562289,2.644057700327679,END,1,0.33306620895343686,0.656374975111728,0.01055881593483514
ARG,Argentina,1999,550.0409396553,542.4550271158,398792535409.293,MERCOSUR,-0.01398440821874915,-7.585912539499987,-0.05112576560138236,-0.03385457040632517,1.5101584509201258,RND,3,0.24071967567510089,0.19261396969736294,0.5666663546275362
ARG,Argentina,2000,536.3073800001,529.6869605407,395646066535.875,MERCOSUR,-0.01249873973231639,-6.620419459399955,-0.02353755783771972,-0.00788998939057049,2.9832179325678183,RND,3,0.057400494924342106,0.018648614901777646,0.9239508901738803
ARG,Argentina,2001,524.3390691785,501.6830818328,378202665751.853,MERCOSUR,-0.04515995887868269,-22.655987345700055,-0.05286873341060528,-0.0440883968258542,1.1991530020797248,RC,3,0.06458144775687702,0,0.935418552243123
ARG,Argentina,2002,523.2519733993,422.8293438346,336999433710.193,MERCOSUR,-0.2375015618688537,-100.42262956470006,-0.15717838781830834,-0.10894484828590384,1.4427335508864565,RND,3,0.05576927646162264,0.016395253370211926,0.9278354701681655
ARG,Argentina,2003,562.2954623207,443.4310820118,366780211148.674,MERCOSUR,-0.2680560410191024,-118.86438030890002,0.04872352990065624,0.08837040795769224,0.551355719937186,WD,2,0,1,0
ARG,Argentina,2004,587.7531220975,468.5240685749,399898899166.738,MERCOSUR,-0.2544779692647521,-119.2290535226,0.05658824466984986,0.09029573300681518,0.6266989899243499,WD,2,0,1,0
ARG,Argentina,2005,640.1015234122,509.1084954061,435296589745.339,MERCOSUR,-0.2572988453111767,-130.99302800610002,0.08662186118771831,0.08851659920134447,0.9785945457606624,EC,2,0.09993963160967073,0.9000603683903293,0
ARG,Argentina,2006,641.8998017046999,522.0590177373,470325565798.353,MERCOSUR,-0.22955409234536736,-119.84078396739994,0.02543764727569463,0.08047151500430315,0.31610747323862837,WD,2,0,1,0
ARG,Argentina,2007,689.1296233698,574.2372300923,512690850741.56,MERCOSUR,-0.2000782729796756,-114.8923932775,0.09994696113314933,0.09007650875047396,1.1095785407271728,EC,2,0.09993963160967073,0.9000603683903293,0
ARG,Argentina,2008,696.2621533535,569.3525144486999,533491913656.279,MERCOSUR,-0.22290169215760083,-126.90963890480008,-0.0085064419156782,0.04057233103464237,-0.2096611582020033,SD,1,0.23601510906751919,0.7639848909324809,0
ARG,Argentina,2009,603.8287524425,475.1588415602,501917060966.235,MERCOSUR,-0.2707934686847204,-128.66991088230003,-0.16543998752636932,-0.05918525076349558,2.795290809655736,RND,1,0.21420768466123055,0.28153653541649754,0.5042557799222719
ARG,Argentina,2010,667.7537645771,556.4976839264999,552738161802.463,MERCOSUR,-0.19992191138264356,-111.2560806506001,0.17118242417466353,0.1012539815610031,1.6906241269290752,END,1,0.4701414469760207,0.4279453154958623,0.10191323752811703
ARG,Argentina,2011,728.9419475384001,625.5106557096,585924294024.785,MERCOSUR,-0.16535496379588327,-103.43129182880013,0.12401304403670264,0.06003951692805688,2.065523681433061,END,1,0.6016459784263187,0.3792807293171696,0.019073292256511692
ARG,Argentina,2012,697.9888491468,613.6829185854,579910247223.428,MERCOSUR,-0.1373770199694226,-84.30593056140003,-0.01890892987391591,-0.01026420454432063,1.8422206798654028,RND,1,0.27700736953784955,0.07090319963041704,0.6520894308317334
ARG,Argentina,2013,761.6863893354,676.4437870749,593858966307.156,MERCOSUR,-0.12601579597487148,-85.242602260500007,0.10226921198030092,0.02405323780794282,4.2517856762938475,END,1,0.5875674664302983,0.2850646889449348,0.12736784462476688
ARG,Argentina,2014,756.0932113894,663.9202591458,578937574935.696,MERCOSUR,-0.13883135960060905,-92.1729522436001,-0.01851377478571382,-0.02512615320813782,0.7368328383716775,RD,3,0,0.1190671178263211,0.8809328821736789
ARG,Argentina,2015,766.5911175571999,701.8969174496,594749285413.212,MERCOSUR,-0.09217051464290744,-64.69420010759995,0.05720063182385911,0.02731159828289299,2.094371454624372,END,1,0.5795418989996128,0.2906117922818939,0.12984630871849337
ARG,Argentina,2016,748.9774058954,690.1869699752001,582376550428.09,MERCOSUR,-0.08518044888954131,-58.79043592019991,-0.01668328665261693,-0.02080327843778056,0.8019546872150035,RC,1,0.32792760542471017,0,0.6720723945752899
ARG,Argentina,2017,839.423293986,785.0265707007001,598790850843.677,MERCOSUR,-0.06929284347247815,-54.39672328529991,0.1374114621852507,0.02818502977759202,4.875335001224554,END,1,0.6206911532871613,0.26217029356628974,0.11713855314654902
ARG,Argentina,2018,788.2230021898,701.8486142017,583118120294.002,MERCOSUR,-0.12306697803534795,-86.37438798810001,-0.1059555938657681,-0.02617396462820478,4.048129328928315,RND,3,0.283643665259096,0.04864472639483755,0.6677116083460664
ARG,Argentina,2019,840.1114680553,700.5992194234001,571450737224.442,MERCOSUR,-0.1991327491725152,-139.5122486318999,-0.00178014852921097,-0.02000861002857768,0.08896912512505573,RD,3,0,0.027749164385221427,0.9722508356147787
ARG,Argentina,2020,812.9563175219,691.6068828817,514874343768.066,MERCOSUR,-0.17546013153393808,-121.3494346402,-0.01283520776557651,-0.09900484813646358,0.12964221456998826,RD,3,0,0.027749164385221424,0.9722508356147785
ARG,Argentina,2021,856.3663646732,705.7275585269,568636554720.066,MERCOSUR,-0.2134517836610148,-150.6388061463,0.02041719941589322,0.10441811988250511,0.19553310707822905,WD,2,0,1,0
ARG,Argentina,2022,877.6391606131999,736.2864459048001,602872713790.916,MERCOSUR,-0.19198060142842335,-141.35271470839984,0.04330125274077032,0.06020745375348597,0.7192008637014186,WD,2,0,1,0
