iso3,year,bloc,tapio,regime_viterbi
ARG,1995,MERCOSUR,RND,2
ARG,1996,MERCOSUR,WD,2
ARG,1997,MERCOSUR,END,2
ARG,1998,MERCOSUR,END,2
ARG,1999,MERCOSUR,RND,1
ARG,2000,MERCOSUR,RND,1
ARG,2001,MERCOSUR,RC,1
ARG,2002,MERCOSUR,RND,1
ARG,2003,MERCOSUR,WD,2
ARG,2004,MERCOSUR,WD,2
ARG,2005,MERCOSUR,EC,2
ARG,2006,MERCOSUR,WD,2
ARG,2007,MERCOSUR,EC,2
ARG,2008,MERCOSUR,SD,2
ARG,2009,MERCOSUR,RND,1
ARG,2010,MERCOSUR,END,1
ARG,2011,MERCOSUR,END,1
ARG,2012,MERCOSUR,RND,1
ARG,2013,MERCOSUR,END,1
ARG,2014,MERCOSUR,RD,1
ARG,2015,MERCOSUR,END,1
ARG,2016,MERCOSUR,RC,1
ARG,2017,MERCOSUR,END,1
ARG,2018,MERCOSUR,RND,1
ARG,2019,MERCOSUR,RD,1
ARG,2020,MERCOSUR,RD,1
ARG,2021,MERCOSUR,WD,2
ARG,2022,MERCOSUR,WD,2
ARG,2023,MERCOSUR,SND,2
ARG,2024,MERCOSUR,SND,2
AUT,1995,EU,WD,2
AUT,1996,EU,SD,2
AUT,1997,EU,WD,2
AUT,1998,EU,EC,2
AUT,1999,EU,SD,2
AUT,2000,EU,SD,2
AUT,2001,EU,SD,2
AUT,2002,EU,WD,2
AUT,2003,EU,END,2
AUT,2004,EU,END,2
AUT,2005,EU,SD,2
AUT,2006,EU,EC,2
AUT,2007,EU,WD,2
AUT,2008,EU,WD,2
AUT,2009,EU,RND,2
AUT,2010,EU,WD,2
AUT,2011,EU,WD,2
AUT,2012,EU,SD,2
AUT,2013,EU,RND,1
AUT,2014,EU,SD,1
AUT,2015,EU,SD,1
AUT,2016,EU,END,1
AUT,2017,EU,SD,1
AUT,2018,EU,END,1
AUT,2019,EU,SD,1
AUT,2020,EU,RD,1
AUT,2021,EU,END,1
AUT,2022,EU,SD,1
AUT,2023,EU,SND,1
AUT,2024,EU,SND,1
BEL,1995,EU,WD,2
BEL,1996,EU,SD,2
BEL,1997,EU,SD,2
BEL,1998,EU,WD,2
BEL,1999,EU,END,2
BEL,2000,EU,SD,2
BEL,2001,EU,SD,2
BEL,2002,EU,END,2
BEL,2003,EU,SD,2
BEL,2004,EU,END,2
BEL,2005,EU,END,2
BEL,2006,EU,END,2
BEL,2007,EU,SD,2
BEL,2008,EU,END,2
BEL,2009,EU,RND,2
BEL,2010,EU,END,2
BEL,2011,EU,SD,2
BEL,2012,EU,SD,2
BEL,2013,EU,SD,2
BEL,2014,EU,WD,2
BEL,2015,EU,SD,2
BEL,2016,EU,END,2
BEL,2017,EU,SD,2
BEL,2018,EU,END,2
BEL,2019,EU,SD,2
BEL,2020,EU,RND,1
