iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio
ARG,Argentina,1995,473.702366136,461.0772421176,348389357874.283,MERCOSUR,-0.02738179824364408,-12.625124018399958,-0.05191481875856379,-0.02845209610570785,1.8246395121710919,RND
AUT,Austria,1995,156.770567243,215.7503186968,267089386116.812,EU,0.273370402463627,58.97975145379999,0.017663142239765207,0.026679838888251727,0.6620408134302131,WD
BEL,Belgium,1995,199.3905857342,401.0420621204,319396952810.439,EU,0.5028187699814406,201.65147638620004,0.01221986819788087,0.02384757248701436,0.512415601400726,WD
BGR,Bulgaria,1995,113.8754139163,64.2945303111,33809161451.1369,EU,-0.7711524349784418,-49.5808836052,0.09409242432935709,0.028971391492090073,3.2477702824542174,END
BRA,Brazil,1995,2218.731182508,1953.7997098966,1066858717573.94,MERCOSUR,-0.1355980714243329,-264.93147261140007,0.05103299942012136,0.04223793633646899,1.208226628630494,END
CYP,Cyprus,1995,18.124054578000003,22.9943591826,12661847363.651,EU,0.21180431974313912,4.870304604599998,0.25867778047546747,0.08362468857101048,3.093318311802255,END
CZE,Czech Republic,1995,200.9064783538,187.94058582679995,118281953160.126,EU,-0.06898931633079496,-12.965892527000022,0.03750817204334958,0.06221405988638583,0.6028889950574888,WD
DEU,Germany,1995,1495.4672806998,2145.7795544487,2614281254585.26,EU,0.30306574242477574,650.3122737488998,-0.003180051295021282,0.015049938420135727,-0.2112999539431074,SD
DNK,Denmark,1995,93.6244064133,129.9879305463,226754355587.313,EU,0.27974538851549596,36.363524133,0.08001120058499364,0.030380215046114975,2.6336614294382845,END
ESP,Spain,1995,579.0541162764,650.1121723427,803136997375.095,EU,0.10930122383378855,71.05805606629997,0.03824404022116803,0.027574940029354268,1.3869129064453527,END
EST,Estonia,1995,20.992329811,12.9712489736,10302024946.6889,EU,-0.6183738245812004,-8.021080837400001,-0.28427803045627126,0.04526681792187819,-6.2800533261887415,SD
FIN,Finland,1995,97.274255208,117.7442770866,152674521262.385,EU,0.17385152285188743,20.470021878600008,0.04242516175459242,0.042343671018712704,1.0019245080532508,EC
FRA,France,1995,666.0743820934,1030.810984558,1749300344479.7,EU,0.3538346097669835,364.7366024646,2.3173962642760365e-4,0.02304792783922121,0.010054683789544272,WD
GRC,Greece,1995,198.545048217,223.2942488683,167488456016.048,EU,0.11083671333558252,24.749200651299983,0.13159876892999936,0.020997195323528926,6.267445099323961,END
HRV,Croatia,1995,34.9408411839,54.0480404786,33747976036.3504,EU,0.3535225167370385,19.107199294700003,0.2845384512594263,0.06750714019687828,4.214938603969838,END
HUN,Hungary,1995,127.6042399848,125.087950916,79580966214.7964,EU,-0.02011615867374599,-2.516289068800006,-0.06355466513748412,0.014895254759304696,-4.266772617486324,SD
IRL,Ireland,1995,91.712411949,67.3553158767,103381809953.759,EU,-0.36162099093838207,-24.357096072299996,-0.004397147053153167,0.09634421365589971,-0.045639970334470675,SD
ITA,Italy,1995,682.8731321454001,1099.1790450329,1671695507214.02,EU,0.3787425849944578,416.3059128875001,0.027216534055149805,0.02886836719258468,0.9427805138262487,EC
LTU,Lithuania,1995,27.0071939397,32.8392322733,17870049092.5502,EU,0.17759362597345948,5.8320383336,0.026929256360793498,0.0329008018404146,0.8184984819340849,EC
LUX,Luxembourg,1995,7.3200897208,13.4853662772,30604417413.6204,EU,0.45718272901669466,6.1652765564,0.07093498293903423,0.014322001977614945,4.95286783578891,END
LVA,Latvia,1995,13.770240133,16.2556599618,11584507029.7279,EU,0.1528956581671008,2.4854198287999996,-0.03095299775223458,-0.009447606343592584,3.276279369242249,RND
MLT,Malta,1995,5.0599336608,6.5071490480000005,4656139454.16571,EU,0.22240390938099203,1.4472153872000009,0.04342536679505881,0.063424925876946,0.6846735127339467,WD
NLD,Netherlands,1995,220.3817617173,405.7075587774,524315389158.098,EU,0.4567965103203387,185.32579706010003,0.04435485669124399,0.031160358898284363,1.4234385693704605,END
POL,Poland,1995,534.5056410599,470.6902772864,218906804615.997,EU,-0.13557824933500873,-63.81536377349994,0.03141042277912166,0.07929659563139263,0.3961131310747801,WD
PRT,Portugal,1995,162.7926849654,179.7689306865,158531058877.056,EU,0.0944337025106132,16.976245721099986,-0.033976259101400175,0.042827801723606305,-0.7933225086047964,SD
PRY,Paraguay,1995,71.83021111480001,56.6871005414,20358106834.2373,MERCOSUR,-0.26713503475699235,-15.143110573400008,0.060517582106654484,0.06822810303585906,0.886989076551753,EC
ROU,Romania,1995,221.0417884216,201.5531908656,103718335742.553,EU,-0.09669208149125978,-19.48859755600003,0.04712490140029636,0.06233511483713542,0.7559928544837179,WD
SVK,Slovakia,1995,66.6318744011,71.42093580529999,41585644560.5088,EU,0.06705402764891522,4.789061404199984,0.08239048846811867,0.058434942995337,1.409952405955,END
SVN,Slovenia,1995,22.6547566544,30.726345329100003,26422998604.2834,EU,0.2626927670130571,8.071588674700003,0.12605979822123414,0.04107158355677939,3.0692704615823456,END
SWE,Sweden,1995,127.2309859614,155.6150138647,309511442391.393,EU,0.18239903206241123,28.38402790329998,0.006641714988055155,0.04094389927724909,0.16221500895850666,WD
URY,Uruguay,1995,62.7686572473,40.0798108187,31329539981.1782,MERCOSUR,-0.5660916547543702,-22.68884642859999,0.008910460686499784,-0.014475989689441738,-0.6155337823291455,SND
ARG,Argentina,1996,472.6096462531,463.0762108828,367643757074.802,MERCOSUR,-0.02058718445528795,-9.533435370300026,0.004335431425804698,0.05526689827152231,0.07844535447791974,WD
AUT,Austria,1996,163.6604656518,211.8221824096,273007464944.44,EU,0.22736861744097145,48.16171675780001,-0.01820686203815219,0.02215767130873448,-0.8216956459217403,SD
BEL,Belgium,1996,200.861008058,390.3530164371,323617566812.874,EU,0.48543754089225544,189.4920083791,-0.026653178538890862,0.013214321443260346,-2.016991841263608,SD
