year,total_value_musd,total_value_const_musd
2000,17798.865911,24516.34423002755
2001,18993.635146,25426.55307362784
2002,19807.715294,26097.12159947299
2003,24461.292067,31522.28359149485
2004,29602.403553,37142.28802132999
2005,32755.336835,39751.62237257281
2006,37404.48787,44005.279847058824
2007,49702.837939000005,56803.243358857144
2008,61563.858982000005,67801.60680837005
2009,44162.771581,48798.642630939226
2010,56023.05893,60894.629271739126
2011,70077.98949,73844.03528977871
2012,63205.131225,65294.557050619835
2013,62845.833901000005,63932.68962461851
2014,64519.19159192,64583.77536728728
2015,45444.610890359996,45444.610890359996
2016,43213.64757167,42659.07953768016
2017,47860.55541499,46286.80407639265
2018,57967.417742980004,54737.88266570349
2019,46270.52911123,42882.78879632067
2020,46022.97715555,42145.58347577838
2021,60454.59474016,52891.15900276465
2022,86345.67001561,69972.17991540518
2023,77122.02603061001,60017.140879852144
