model,K,regime,dominant_tapio,mean_dwell_time,p_self_transition
EU_only,3,1,SD,1.04,0.038
EU_only,3,2,END,3.48,0.712
EU_only,3,3,RND,2.64,0.621
MERCOSUR_only,3,1,END,4.08,0.755
MERCOSUR_only,3,2,SD,1,0
MERCOSUR_only,3,3,WD,1,0
EU15_robustness,3,1,END,3.39,0.705
EU15_robustness,3,2,SD,1.3,0.23
EU15_robustness,3,3,RND,2.69,0.628
MERCOSUR_loo_drop_ARG,3,1,END,3.26,0.693
MERCOSUR_loo_drop_ARG,3,2,RND,1.78,0.439
MERCOSUR_loo_drop_ARG,3,3,WD,4.95,0.798
MERCOSUR_loo_drop_BRA,3,1,SD,6.8,0.853
MERCOSUR_loo_drop_BRA,3,2,RND,2.12,0.529
MERCOSUR_loo_drop_BRA,3,3,END,3.39,0.705
MERCOSUR_loo_drop_PRY,3,1,END,10.25,0.902
MERCOSUR_loo_drop_PRY,3,2,SD,8.08,0.876
MERCOSUR_loo_drop_PRY,3,3,RND,4.25,0.765
MERCOSUR_loo_drop_URY,3,1,RND,4.87,0.795
MERCOSUR_loo_drop_URY,3,2,WD,4.93,0.797
MERCOSUR_loo_drop_URY,3,3,END,6.01,0.833
