bloc,year,n_total,n_SD,n_END,roll_n,roll_SD,roll_END,share_SD,share_END
EU,1999,27,3,14,135,32,49,23.703703703703706,36.2962962962963
MERCOSUR,1999,4,1,0,20,2,9,10,45
EU,2000,27,18,2,135,45,41,33.33333333333333,30.37037037037037
MERCOSUR,2000,4,0,0,20,2,8,10,40
EU,2001,27,15,6,135,45,40,33.33333333333333,29.629629629629626
MERCOSUR,2001,4,0,0,20,2,6,10,30
EU,2002,27,5,14,135,44,49,32.592592592592595,36.2962962962963
MERCOSUR,2002,4,0,0,20,2,3,10,15
EU,2003,27,5,15,135,46,51,34.074074074074076,37.77777777777778
MERCOSUR,2003,4,2,1,20,3,1,15,5
EU,2004,27,2,13,135,45,50,33.33333333333333,37.03703703703704
MERCOSUR,2004,4,0,2,20,2,3,10,15
EU,2005,27,9,10,135,36,58,26.666666666666668,42.96296296296296
MERCOSUR,2005,4,1,2,20,3,5,15,25
EU,2006,27,9,8,135,30,60,22.22222222222222,44.44444444444444
MERCOSUR,2006,4,1,2,20,4,7,20,35
EU,2007,27,7,14,135,32,60,23.703703703703706,44.44444444444444
MERCOSUR,2007,4,0,2,20,4,9,20,45
EU,2008,27,8,7,135,35,52,25.925925925925924,38.51851851851852
MERCOSUR,2008,4,2,2,20,4,10,20,50
EU,2009,27,1,0,135,34,39,25.185185185185183,28.888888888888886
MERCOSUR,2009,4,0,0,20,4,8,20,40
EU,2010,27,14,8,135,39,37,28.888888888888886,27.40740740740741
MERCOSUR,2010,4,0,3,20,3,9,15,45
EU,2011,27,6,14,135,36,43,26.666666666666668,31.851851851851855
MERCOSUR,2011,4,1,3,20,3,10,15,50
EU,2012,27,11,1,135,40,30,29.629629629629626,22.22222222222222
MERCOSUR,2012,4,1,0,20,4,8,20,40
EU,2013,27,7,5,135,39,28,28.888888888888886,20.74074074074074
MERCOSUR,2013,4,0,2,20,2,8,10,40
EU,2014,27,11,5,135,49,33,36.2962962962963,24.444444444444443
MERCOSUR,2014,4,2,1,20,4,9,20,45
EU,2015,27,15,4,135,50,29,37.03703703703704,21.48148148148148
MERCOSUR,2015,4,2,1,20,6,7,30,35
EU,2016,27,11,9,135,55,24,40.74074074074074,17.77777777777778
MERCOSUR,2016,4,2,0,20,7,4,35,20
EU,2017,27,10,12,135,54,35,40,25.925925925925924
MERCOSUR,2017,4,1,2,20,7,6,35,30
EU,2018,27,4,15,135,51,45,37.77777777777778,33.33333333333333
MERCOSUR,2018,4,3,0,20,10,4,50,20
EU,2019,27,15,6,135,55,46,40.74074074074074,34.074074074074076
MERCOSUR,2019,4,0,2,20,8,5,40,25
EU,2020,27,2,0,135,42,42,31.11111111111111,31.11111111111111
MERCOSUR,2020,4,0,0,20,6,4,30,20
EU,2021,27,3,10,135,34,43,25.185185185185183,31.851851851851855
MERCOSUR,2021,4,2,0,20,6,4,30,20
EU,2022,27,16,1,135,40,32,29.629629629629626,23.703703703703706
MERCOSUR,2022,4,1,0,20,6,2,30,10
EU,2023,27,0,16,135,36,33,26.666666666666668,24.444444444444443
MERCOSUR,2023,4,0,1,20,3,3,15,15
EU,2024,27,0,13,135,21,40,15.555555555555555,29.629629629629626
MERCOSUR,2024,4,0,0,20,3,1,15,5
